VM ID,Actual CPU,Length,Input Size,Output Size,End Time
12,0.22,162,201,639,16.05
14,0.11,47,525,735,16.05
19,0.77,753,232,546,16.05
23,0.22,119,213,47,16.05
15,0.33,250,541,320,16.16
21,0.22,199,623,49,16.16
23,0.11,83,571,344,16.16
10,0.77,689,438,173,16.27
12,0.22,182,392,279,16.27
13,0.33,330,296,92,16.27
14,0.22,150,616,85,16.27
23,0.11,67,476,177,16.27
3,0.77,683,181,204,16.38
7,0.88,843,16,176,16.38
13,0.11,92,269,65,16.38
17,0.44,365,413,204,16.38
1,0.99,929,121,97,16.49
18,0.66,630,31,651,16.49
24,0.55,503,629,83,16.49
0,0.88,868,303,222,16.6
5,0.77,698,577,205,16.6
14,0.33,283,239,652,16.6
22,0.99,983,678,394,16.6
2,0.99,907,389,237,16.71
3,0.33,233,157,291,16.71
6,0.77,694,528,189,16.71
11,0.77,687,297,717,16.71
19,0.66,650,739,22,16.71
22,0.11,106,690,604,16.71
23,0.44,415,580,599,16.71
2,0.11,80,668,358,16.82
8,0.77,671,36,238,16.82
10,0.55,452,52,170,16.82
14,0.22,191,653,746,16.82
15,0.66,603,546,7,16.82
17,0.44,412,359,561,16.82
20,0.99,882,303,676,16.82
1,0.44,343,510,472,16.93
4,1.1,996,564,538,16.93
6,0.22,176,145,305,16.93
13,0.55,490,722,212,16.93
16,0.99,961,717,629,16.93
17,0.11,29,424,246,16.93
18,0.44,393,192,183,16.93
23,0.22,133,277,123,16.93
1,0.11,80,58,29,17.04
9,1.1,993,544,396,17.04
10,0.22,140,24,636,17.04
12,0.77,754,523,559,17.04
0,0.55,491,152,52,17.15
2,0.33,292,693,89,17.15
7,0.77,763,533,694,17.15
14,0.33,324,423,394,17.15
21,0.99,939,671,354,17.15
22,0.44,358,14,254,17.15
23,0.22,129,30,185,17.15
3,0.55,505,562,700,17.26
5,0.66,626,208,538,17.26
12,0.22,183,337,59,17.26
22,0.11,75,656,248,17.26
23,0.11,110,375,175,17.26
8,0.55,450,150,728,17.37
11,0.66,562,678,36,17.37
17,0.44,402,557,736,17.37
19,0.66,601,209,478,17.37
24,0.88,824,238,347,17.37
15,0.66,660,25,675,17.48
3,0.33,225,341,169,17.59
4,0.66,632,172,508,17.59
6,0.66,569,269,257,17.59
13,0.66,612,89,447,17.59
16,0.66,552,438,550,17.59
20,0.77,700,11,96,17.59
21,0.44,406,157,327,17.59
23,0.33,327,79,449,17.59
0,0.55,446,199,170,17.7
9,0.66,566,56,533,17.7
11,0.33,270,478,12,17.7
4,0.22,202,732,340,17.81
6,0.22,210,456,376,17.81
1,0.88,859,667,634,17.92
7,0.77,762,97,362,17.92
11,0.22,220,520,415,17.92
14,0.77,767,401,413,17.92
18,0.99,990,587,136,17.92
19,0.55,525,534,424,17.92
22,0.66,645,615,446,17.92
2,0.88,846,475,647,18.03
8,0.66,560,409,63,18.03
10,0.99,920,545,431,18.03
12,0.77,741,579,129,18.03
15,0.55,468,157,352,18.03
4,0.33,289,688,148,18.14
7,0.22,213,414,470,18.14
17,0.77,700,457,330,18.14
24,0.77,713,510,715,18.14
0,0.55,549,419,391,18.25
3,0.66,619,309,163,18.25
5,0.99,986,307,558,18.25
7,0.11,43,690,728,18.25
14,0.33,277,415,571,18.25
1,0.44,399,677,691,18.37
6,0.55,531,612,144,18.37
9,0.66,635,623,126,18.37
15,0.33,299,289,403,18.37
21,0.77,709,630,341,18.37
22,0.44,381,662,117,18.37
2,0.44,371,578,552,18.48
4,0.33,309,338,104,18.48
7,0.22,117,317,637,18.48
8,0.44,362,543,160,18.48
10,0.44,420,294,619,18.48
12,0.44,352,68,334,18.48
15,0.11,14,501,585,18.48
16,0.88,794,343,725,18.48
23,0.88,877,474,9,18.48
12,0.11,51,452,226,18.59
13,0.99,972,338,680,18.59
19,0.66,652,491,2,18.59
20,0.99,883,686,368,18.59
20,0.11,28,482,703,18.7
24,0.55,444,364,640,18.7
4,0.33,285,200,79,18.81
11,0.88,783,308,289,18.81
5,0.66,648,348,446,18.92
12,0.33,308,171,175,18.92
16,0.44,362,146,65,18.92
18,0.99,972,81,455,18.92
0,0.77,692,221,74,19.03
3,0.77,740,585,472,19.03
4,0.22,119,393,9,19.03
7,0.55,486,567,64,19.03
11,0.22,171,120,88,19.03
16,0.11,46,12,524,19.03
22,0.66,563,465,156,19.03
